Name,RA (J2000),Dec (J2000),Z,IR SFR,data,21 cm Flux,21 cm Flux Error,Luminosity,Luminosity Error (stat.),21 cm SFR,21 cm SFR Error (stat.),detect_aper,detect_pix,RMS,Npixperbeam,Nbeams,MaxValue,Max/noise,Flux/error,imfit flux,imfit flux error,imfit max,imfit max error,,compareflux,comparefluxerror
J010624.25,16.6010567.5,-10.3916477.5,0.455,120,1,0.000039,0.000039,2.7E+029,2E+029,24,24,0,1,0.000025,69.6144271418,10.1539059658,7.7638600487262E-005,3.1595866253,0.9929106718,~,,,,,#VALUE!,#DIV/0!
J082733.87,126.8911527.5,29.9142417.5,0.681,122,1,0.017975,0.000024,3.1175E+032,2.9E+029,27747,38,1,1,0.000012,39.1347737078,18.0621549606,0.0173205808,1503.6569621363,734.3472023868,1.78E-002,1.00E-004,1.74E-002,5.70E-005,,1.0115362971,0.24
J090133.42,135.3892607.5,3.2368007.5,0.459,119,1,0.19,0.0093,1.325E+033,4.9E+031,117900,5700,1,1,0.0045,41.813666111,16.9049598565,0.0158772748,3.5247251348,20.5180665226,,,,,,#DIV/0!,#DIV/0!
J090842.76,137.1781777.5,10.6502137.5,0.502,22,1,0.00008,0.00003,6.9E+029,1.9E+029,61,23,0,0,0.000018,67.3983641555,10.487767113,3.94730996049475E-005,2.1505895426,2.7019221688,9.50E-005,4.70E-005,3.06E-005,1.00E-005,,0.8421052632,0.6382978723
J094417.84,146.0743707.5,9.5053867.5,0.514,184,1,0.0159,0.0013,1.439E+032,8.9E+030,12800,1100,1,0,0.00057,32.1808753445,21.9651684266,0.0008755592,1.5342641688,11.8965030658,,,,,,#DIV/0!,#DIV/0!
J103906.96,159.7790327.5,45.6316817.5,0.634,22,1,0.000042,0.000016,6.2E+029,1.6E+029,55,21,0,1,0.000011,81.7352824118,8.6481422245,4.53827742603608E-005,4.1860361646,2.6423341495,1.76E-004,5.60E-005,2.59E-005,7.10E-006,,0.2386363636,0.2857142857
J110702.87,166.7619697.5,4.2840987.5,0.467,183,1,0.000272,0.000043,1.97E+030,2.3E+029,176,28,1,1,0.000022,46.206374361,15.2978535285,0.0001197205,5.4271053936,6.3082426188,1.93E-004,6.00E-005,1.15E-004,2.40E-005,,1.4093264249,0.7166666667
J112518.89,171.3287437.5,-1.7590077.5,0.519,119,1,0.000064,0.000032,5.9E+029,2.2E+029,53,27,0,0,0.00002,68.3911141553,10.3355290492,4.31766238762066E-005,2.142310368,1.9698376579,2.76E-004,1.58E-004,2.80E-005,1.40E-005,,0.231884058,0.2025316456
J121955.77,184.9824057.5,3.6044187.5,0.451,269,1,0.000045,0.000041,3E+029,2.1E+029,27,25,0,1,0.000023,53.0794341473,13.3169910044,8.83676184457727E-005,3.9222942702,1.105571544,-1.02E-004,-6.40E-005,-5.70E-005,-2.30E-005,,-0.4411764706,-0.640625
J122949.83,187.4576287.5,35.7547587.5,0.614,13,1,0.000124,0.00003,1.69E+030,2.9E+029,151,36,1,1,0.000016,47.9691847075,14.7356756503,6.45261097815819E-005,4.1207709183,4.127201505,1.75E-004,7.10E-005,5.20E-005,1.60E-005,,0.7085714286,0.4225352113
J123215.82,188.0659397.5,7.3890857.5,0.4,146,1,0.00015,0.000047,7.7E+029,1.9E+029,68,21,1,1,0.000027,57.655309464,12.2600737665,8.63968452904373E-005,3.2128702401,3.1964394134,3.29E-004,1.15E-004,7.70E-005,2.20E-005,,0.4559270517,0.4086956522
J124807.15,192.0298067.5,6.0199607.5,0.632,34,1,0.000048,0.000018,7E+029,1.8E+029,62,24,0,0,0.000011,68.6054536295,10.3032384404,0.000024415,2.1544337021,2.6450489348,,,,,,#DIV/0!,#DIV/0!
J134136.79,205.4033257.5,-3.3570207.5,0.658,515,1,0.000102,0.000048,1.64E+030,5.3E+029,146,69,0,1,0.000026,51.0471116835,13.8471761427,0.0001059783,4.0966615655,2.1217341835,,,,,,#DIV/0!,#DIV/0!
J150603.69,226.5153827.5,61.5300317.5,0.437,21,1,0.000011,0.000034,7E+028,1.6E+029,6,19,0,0,0.000025,94.4764187488,7.4818495072,4.33596360380761E-005,1.748073848,0.3136206482,,,,,,#DIV/0!,#DIV/0!
J211625.14,319.1047867.5,-6.5791147.5,0.728,149,1,0.000059,0.000025,1.2E+030,3.4E+029,107,46,0,1,0.000013,44.6860213518,15.8183325719,4.14542664657347E-005,3.2552798376,2.3489102889,1.88E-004,9.30E-005,2.60E-005,1.10E-005,,0.3138297872,0.2688172043
J211824.06,319.6002567.5,0.2915077.5,0.459,233,1,0.000787,0.00005,5.49E+030,2.6E+029,488,31,1,1,0.000024,41.6877366635,16.9560260074,0.0004414347,18.3266531477,15.866419109,5.92E-004,7.60E-005,3.98E-004,3.30E-005,,1.3293918919,0.6578947368
J214000.49,325.0020597.5,12.1540517.5,0.752,302,1,-0.000143,0.000044,-3.13E+030,6.4E+029,-278,86,0,1,0.00002,36.0040092078,19.6327676448,8.58281491673552E-005,4.2789997406,-3.2202451159,-5.90E-004,-2.70E-004,-3.00E-005,-1.30E-005,,0.2423728814,-0.162962963
J225623.75,344.0989897.5,15.0735517.5,0.727,182,1,-0.00001,0.000019,-2E+029,2.5E+029,-18,34,0,0,0.000009,39.1117726263,18.072777059,1.72533709701384E-005,1.9411642739,-0.5281347119,9.50E-005,5.20E-005,1.36E-005,6.40E-006,,-0.1052631579,0.3653846154
